"Index","INDPRO","CPIAUCSL","UNRATE","FEDFUNDS","GS10","SP500","DCOILWTICO","UMCSENT"
"1989-04-30",4.1291903346477,4.81299703319041,5.2,9.84,9.18,5.73541037964447,3.01455402779458,91.5
"1989-05-31",4.12348903916057,4.81785927939844,5.2,9.81,8.86,5.76994464263329,2.9922261342247,90.7
"1989-06-30",4.12341295296945,4.82108769221056,5.3,9.53,8.28,5.76198852227094,3.01012815383772,90.6
"1989-07-31",4.11371899328019,4.82430571590476,5.2,9.24,8.02,5.84666992340524,2.90853906185161,92
"1989-08-31",4.12346961344934,4.82430571590476,5.2,8.99,8.11,5.86206748835525,2.93545134266906,89.6
"1989-09-30",4.1203306468598,4.82671245593533,5.3,9.02,8.19,5.85550161181097,3.00320428839269,95.8
"1989-10-31",4.11898188873138,4.83150862819882,5.3,8.84,8.01,5.83000383794329,2.98971420122843,93.9
"1989-11-30",4.12235524117259,4.8354879410503,5.4,8.55,7.87,5.84640984468079,2.98921105656373,90.9
"1989-12-31",4.1278244694627,4.83866002935645,5.4,8.45,7.84,5.86760054261475,3.0837431508767,90.5
"1990-01-31",4.12275383669578,4.84811636459848,5.4,8.23,8.21,5.79630084149687,3.12192429879175,93
"1990-02-28",4.13179447766894,4.85203026391962,5.3,8.24,8.47,5.80480363285135,3.07037581654976,89.5
"1990-03-31",4.13676368066069,4.85670681180352,5.2,8.28,8.59,5.82876913863108,3.01258939062041,91.3
"1990-04-30",4.1341404304548,4.85903690994514,5.4,8.26,8.79,5.80151392624799,2.91777073208428,93.9
"1990-05-31",4.13717733377453,4.8605872978526,5.4,8.18,8.76,5.8895149049859,2.86048512414597,90.6
"1990-06-30",4.14056316880148,4.86676492367655,5.2,8.29,8.48,5.88058882007569,2.83615020372953,88.3
"1990-07-31",4.13881429564595,4.87137322676275,5.5,8.15,8.47,5.87535197328688,3.02383370366487,88.2
"1990-08-31",4.14230104564295,4.87976701889122,5.7,8.13,8.75,5.77628915787411,3.31236616795554,76.4
"1990-09-30",4.14237729675697,4.88658264542628,5.9,8.2,8.89,5.72374844741134,3.67705987730859,72.8
