"model","origin_date","origin_idx","lambda","alpha","psi","soc","sur","log_ml"
"small","2010-04-30",304,0.345119804061855,NA,NA,0.516977356753807,0.697139718032859,2456.8503361592
"small","2010-05-31",305,0.352002506118972,NA,NA,0.565974490859178,0.677654349908181,2469.3889680664
"small","2010-06-30",306,0.355204725546415,NA,NA,0.550375150151748,0.612800913651122,2475.89711103925
"small","2010-07-31",307,0.352657428628894,NA,NA,0.617050299175567,0.70270520836789,2488.46011294798
"small","2010-08-31",308,0.347987866284507,NA,NA,0.537810865400616,0.694696970610099,2497.33555428506
"small","2010-09-30",309,0.345361378233813,NA,NA,0.485418967293201,0.653025117616653,2508.41309535627
"small","2010-10-31",310,0.340790224021837,NA,NA,0.46273147698409,0.628013908948734,2516.94296194637
"small","2010-11-30",311,0.349503876525001,NA,NA,0.394005362944133,0.677772959585698,2523.75479069348
"small","2010-12-31",312,0.356074468415648,NA,NA,0.475354716147451,0.711453856617678,2529.07136268138
"small","2011-01-31",313,0.363706573895745,NA,NA,0.47942964673273,0.652804893197027,2537.03706611069
"small","2011-02-28",314,0.351443334780934,NA,NA,0.466412586217804,0.638879452455143,2545.6787770972
"small","2011-03-31",315,0.348345267808385,NA,NA,0.483950600018676,0.649823574053484,2552.45447173938
"small","2011-04-30",316,0.346544358838222,NA,NA,0.428590138902319,0.578473682330897,2560.62853290725
"small","2011-05-31",317,0.354046400676692,NA,NA,0.439437540668554,0.782419379678442,2575.36065798641
"small","2011-06-30",318,0.337919922534782,NA,NA,0.440759154600173,0.712360534163828,2583.43004028399
"small","2011-07-31",319,0.346476475913019,NA,NA,0.459818686393167,0.726691396891254,2594.7796591325
"small","2011-08-31",320,0.338046675565622,NA,NA,0.435696060984521,0.669746379016296,2604.75225258243
"small","2011-09-30",321,0.365123855899277,NA,NA,0.403749409878602,0.65478167169845,2612.38743463241
"small","2011-10-31",322,0.343138758668252,NA,NA,0.400083469186398,0.618940302594478,2623.9303010957
"small","2011-11-30",323,0.352226181944084,NA,NA,0.418966519781079,0.669499607996506,2633.57376936222
"small","2011-12-31",324,0.356921455599014,NA,NA,0.493874143119571,0.737735319213981,2641.85868752911
"small","2012-01-31",325,0.342383957444725,NA,NA,0.484355759778095,0.629067426695365,2654.99877104572
"small","2012-02-29",326,0.354750643952919,NA,NA,0.454611453164445,0.705324372258256,2666.38132988776
"small","2012-03-31",327,0.347346460192929,NA,NA,0.453830630764128,0.606816909546823,2675.30623939756
"small","2012-04-30",328,0.349062019737816,NA,NA,0.475933275876537,0.710294687145966,2684.67999846581
"small","2012-05-31",329,0.348200109006899,NA,NA,0.459310279309564,0.639169741042828,2695.90798999917
"small","2012-06-30",330,0.362178479410307,NA,NA,0.43776970449167,0.676060646203511,2704.96755437532
"small","2012-07-31",331,0.354758632067595,NA,NA,0.511078163633121,0.707886331341537,2715.94459986655
"small","2012-08-31",332,0.37372440106137,NA,NA,0.414988859905858,0.663055335105684,2723.80851438134
"small","2012-09-30",333,0.372072227922499,NA,NA,0.435785649235148,0.708166510259011,2733.40235930293
"small","2012-10-31",334,0.34136498786105,NA,NA,0.457430669525287,0.707792097614448,2742.18428978874
"small","2012-11-30",335,0.361230510401218,NA,NA,0.474109799435522,0.700423679692171,2752.94189526156
"small","2012-12-31",336,0.352984030058583,NA,NA,0.522478224253139,0.674145364419494,2763.70450939304
"small","2013-01-31",337,0.351511569163758,NA,NA,0.446321057295052,0.633545054371529,2772.1815995611
"small","2013-02-28",338,0.351706316167923,NA,NA,0.481770535825323,0.653640876186225,2781.94262279998
"small","2013-03-31",339,0.354664999378808,NA,NA,0.498169966766338,0.804693973306185,2787.77650524
"small","2013-04-30",340,0.361098009263814,NA,NA,0.506353306793947,0.705681801771952,2793.405917452
"small","2013-05-31",341,0.359243985938607,NA,NA,0.489649804226277,0.679032300568884,2809.0795218419
"small","2013-06-30",342,0.365962341957855,NA,NA,0.43677935917821,0.587337459211229,2819.95918227346
"small","2013-07-31",343,0.363387220866937,NA,NA,0.526569312801299,0.687474682759398,2827.74508418707
"small","2013-08-31",344,0.356555310594521,NA,NA,0.505232172718835,0.692295128606736,2840.72647704323
"small","2013-09-30",345,0.368929830632293,NA,NA,0.447891112574621,0.659859922898601,2850.77143956658
"small","2013-10-31",346,0.370461169416027,NA,NA,0.539785640630329,0.736251291045592,2861.42355286172
"small","2013-11-30",347,0.37718919002151,NA,NA,0.433165994474853,0.620163772343861,2867.63164337288
"small","2013-12-31",348,0.355256094301545,NA,NA,0.469791879451609,0.68894212853649,2881.57285385895
"small","2014-01-31",349,0.345037377133612,NA,NA,0.573761603200853,0.681368570495412,2892.15944633132
"small","2014-02-28",350,0.367398032390201,NA,NA,0.510488396403757,0.710636052282181,2900.78559202226
"small","2014-03-31",351,0.349412130702258,NA,NA,0.490733720430581,0.65769277161001,2910.34052175644
"small","2014-04-30",352,0.37457605076721,NA,NA,0.504458735059492,0.689200878060524,2915.43992665218
"small","2014-05-31",353,0.377429188970174,NA,NA,0.424951751178603,0.677788941864609,2924.82990781005
"small","2014-06-30",354,0.369658037735846,NA,NA,0.517231062698011,0.719601725178089,2937.13302866291
"small","2014-07-31",355,0.368778573386159,NA,NA,0.547814596974093,0.710649255408391,2947.09499280543
"small","2014-08-31",356,0.352035564064929,NA,NA,0.495362798368907,0.700883068972109,2957.39280090654
"small","2014-09-30",357,0.359236159711496,NA,NA,0.431930795047126,0.67101393719585,2968.09831650314
"small","2014-10-31",358,0.368864718907536,NA,NA,0.4948450443431,0.69573560418975,2976.30302470341
"small","2014-11-30",359,0.37305919515873,NA,NA,0.457596481984995,0.664309248064268,2981.6075527373
"small","2014-12-31",360,0.369840866913211,NA,NA,0.429331787022995,0.621360500961473,2995.48770039194
"small","2015-01-31",361,0.365201801708794,NA,NA,0.534307402581997,0.678624209781775,2999.83629652026
"small","2015-02-28",362,0.378913922354213,NA,NA,0.536855793906622,0.671106745512797,3011.63090801486
"small","2015-03-31",363,0.367052212521908,NA,NA,0.541959328186055,0.723108810074175,3021.92216632447
"small","2015-04-30",364,0.381810086947201,NA,NA,0.464292743462487,0.656942149786868,3032.90764259659
"small","2015-05-31",365,0.375680246682399,NA,NA,0.566282402116168,0.739805535421489,3040.76911995461
"small","2015-06-30",366,0.376877879516382,NA,NA,0.489384508787969,0.697664231082323,3050.02352337706
"small","2015-07-31",367,0.373324967801442,NA,NA,0.506987369248009,0.64474826533827,3060.54176249238
"small","2015-08-31",368,0.374135355650891,NA,NA,0.577993979392358,0.75388166820758,3065.58190583956
"small","2015-09-30",369,0.364529005148681,NA,NA,0.46708380870393,0.71224750962271,3076.27957451559
"small","2015-10-31",370,0.373658670072466,NA,NA,0.551183909011488,0.795010104853569,3087.46446335425
"small","2015-11-30",371,0.382441346396327,NA,NA,0.560324595054584,0.770087610240693,3100.64413606773
"small","2015-12-31",372,0.378609505197985,NA,NA,0.500248127560926,0.639316447026299,3111.9267463141
"small","2016-01-31",373,0.367678641943181,NA,NA,0.527619891255492,0.68401920857285,3118.7017555812
"small","2016-02-29",374,0.366331213795523,NA,NA,0.496135445989009,0.738984981433278,3126.12129546963
