"scenario","model","variable","horizon","target_date","rel_rmsfe"
"baseline","Full","CPI",1,2015-09-30,0.734447155133481
"baseline","Full","CPI",1,2015-10-31,0.743888873881911
"baseline","Full","CPI",1,2015-11-30,0.748387218255624
"baseline","Full","CPI",1,2015-12-31,0.760538602034315
"baseline","Full","CPI",1,2016-01-31,0.770616195612525
"baseline","Full","CPI",1,2016-02-29,0.778273769813339
"baseline","Full","CPI",1,2016-03-31,0.796254065457406
"baseline","Full","CPI",1,2016-04-30,0.803356976162515
"baseline","Full","CPI",1,2016-05-31,0.811422190106255
"baseline","Full","CPI",1,2016-06-30,0.796964439006408
"baseline","Full","CPI",1,2016-07-31,0.812820802970769
"baseline","Full","CPI",1,2016-08-31,0.820072582737489
"baseline","Full","CPI",1,2016-09-30,0.814146609121856
"baseline","Full","CPI",1,2016-10-31,0.808054910631778
"baseline","Full","CPI",1,2016-11-30,0.803113334268865
"baseline","Full","CPI",1,2016-12-31,0.784524680367045
"baseline","Full","CPI",1,2017-01-31,0.776683865063679
"baseline","Full","CPI",1,2017-02-28,0.778837682418279
"baseline","Full","CPI",1,2017-03-31,0.79014870217206
"baseline","Full","CPI",1,2017-04-30,0.791753232098647
"baseline","Full","CPI",1,2017-05-31,0.774138938015878
"baseline","Full","CPI",1,2017-06-30,0.773821355256058
"baseline","Full","CPI",1,2017-07-31,0.773478990556118
"baseline","Full","CPI",1,2017-08-31,0.760342000830116
"baseline","Full","CPI",1,2017-09-30,0.779015721100059
"baseline","Full","CPI",1,2017-10-31,0.790548767067523
"baseline","Full","CPI",1,2017-11-30,0.770409833587231
"baseline","Full","CPI",1,2017-12-31,0.760746646905309
"baseline","Full","CPI",1,2018-01-31,0.750826414771633
"baseline","Full","CPI",1,2018-02-28,0.754822800487117
"baseline","Full","CPI",1,2018-03-31,0.719001110223866
"baseline","Full","CPI",1,2018-04-30,0.671002743651763
"baseline","Full","CPI",1,2018-05-31,0.662797391466053
"baseline","Full","CPI",1,2018-06-30,0.665982476940035
