OBS	USCPILD400	USYDEVQTR	USFFR 	AU_CPILD400	AUREERCPINEW	AU_BB90	AU_GDPRDEVQTR	AU_GMTOTLD
1993.25	2.878712367	-2.401987198	3	1.466546097	1.290065425	5.213333333	-3.243686117	2.666824708
1993.5	1.846299147	-2.663938532	3.06	1.825653557	3.020019558	4.896666667	-4.240469514	0.814115758
1993.75	3.302013707	-2.099828564	2.99	0.727934687	0.828737439	4.803333333	-3.026720485	0.272851465
1994	2.004560004	-1.859509898	3.213333333	1.45190722	-6.360147417	4.83	-1.928023441	-0.951740699
1994.25	2.26578152	-1.333656434	3.94	2.888099189	-2.375106849	4.963333333	-1.698959866	0
1994.5	3.688320296	-1.543683406	4.486666667	2.510093401	-1.683364851	5.646666667	-1.276159004	0
1994.75	2.321435087	-1.144976422	5.166666667	3.204289498	-3.118309556	7.186666667	-1.821649409	-3.196011034
1995	2.927166849	-1.633618472	5.81	6.681474029	1.747635869	8.193333333	-1.950572814	-0.130975788
1995.25	3.256701894	-2.219978875	6.02	5.197128113	2.872829822	7.713333333	-1.752515634	0.920453573
1995.5	2.011152996	-2.171894015	5.796666667	4.790476419	-4.969568896	7.543333333	-1.221443409	-0.789477785
1995.75	2.174627516	-2.205234542	5.72	3.049570044	-0.316626536	7.453333333	-1.400771438	-0.392413846
1996	3.540992573	-2.262964912	5.363333333	1.684213015	-1.255424204	7.486666667	-0.623721808	-1.682887613
1996.25	3.424678454	-1.396612305	5.243333333	2.680077028	-3.470752548	7.563333333	-1.052329892	-2.158813997
1996.5	2.295192781	-1.319998152	5.306666667	1.000417362	1.013045509	7.13	-0.817894469	-0.125549295
1996.75	3.4603022	-0.914658401	5.28	0.665557558	-1.097177475	6.426666667	-0.585195405	0
1997	2.429581247	-0.900161037	5.276666667	0.66445198	3.608757175	5.926666667	-1.461447394	-0.250626698
1997.25	0.917718621	-0.145464328	5.523333333	-0.997092332	2.057157955	5.753333333	0.264818558	-1.36733019
1997.5	1.995016604	0.338916934	5.533333333	-1.667363815	4.860572142	4.953333333	-0.22361394	-0.24660925
1997.75	2.15009821	0.321958319	5.506666667	1.001252087	7.977496045	4.95	0.133386119	0.617667189
1998	0.823893185	0.671853531	5.52	0.998752079	1.410388745	4.973333333	0.683899603	2.129072281
1998.25	1.314709483	0.582017089	5.5	2.320769046	5.923730077	5.066666667	0.55699068	0.380469704
1998.5	2.045621723	0.979127201	5.533333333	0.990508141	6.388196703	5.13	1.271397022	2.835241459
1998.75	1.872776958	1.740458369	4.86	1.973688215	-5.378263124	4.836666667	2.23790432	1.713950988
1999	1.459559698	1.840967527	4.733333333	-0.328272485	0.02594967	4.79	1.889431705	-1.452170733
1999.25	2.983584037	1.92107027	4.746666667	1.638674967	-4.242503856	4.85	2.056735266	-0.130975788
1999.5	2.961494268	2.339345211	5.093333333	3.581627511	1.123102698	4.94	1.680130995	-1.94432567
1999.75	2.939729192	3.359586451	5.306666667	2.262632296	0.55592247	5.466666667	2.33948426	-1.781217576
2000	3.938590309	2.873216457	5.676666667	3.529906582	4.214505778	5.783333333	2.414312394	-2.490788791
