y_au,pi_au,i_au,q_au,s_au,y_us,pi_us,i_us
3.179076844,7.07983084,11.96666667,0.397109679,-0.135777346,2.308645269,3.716635334,6.916666667
2.999602505,6.956697085,10.98333333,-4.189602816,-3.204546567,1.99356789,3.10927145,6.663333333
2.310989559,6.837773344,12.25666667,-8.750015506,-4.622132093,2.455761407,4.562353424,7.156666667
2.204468581,7.610750022,13.34666667,-2.235569064,-4.777393429,2.187156808,4.847177815,7.983333333
2.6685302,7.903659992,14.61333333,-7.54978172,-0.715140116,2.69988767,4.346051948,8.47
2.937554062,3.894027508,16.45,2.177046005,-4.527761169,2.912134398,4.518576773,9.443333333
4.089341479,9.782518391,17.78333333,7.967823292,0.455063356,2.769402607,6.414052365,9.726666667
4.335545827,9.13850754,18.04666667,-1.414300496,2.073807039,2.685328551,3.11536421,9.083333333
3.602642977,7.324721457,18.16666667,-3.524278927,-0.696058495,2.14480763,4.0458157,8.613333333
3.682135398,6.796765227,16.45666667,3.14890765,0.579711768,2.500650018,6.827000432,8.25
2.641458555,6.293148488,15.07,-1.659935469,-0.348230184,1.964732571,3.937855638,8.243333333
1.277215733,3.109831019,14.09,-4.287788541,1.51783416,1.181983984,6.850007657,8.16
0.492682982,10.32068719,12.55666667,3.313716934,4.082199452,-0.365021088,6.734673474,7.743333333
-1.127013567,-0.755429875,11.68,0.390644169,2.10534092,-1.662444083,2.97915975,6.426666667
-2.168889494,0.755429875,10.82333333,1.885023875,0.879955395,-1.801891163,2.367454507,5.863333333
-3.038639849,2.257767048,10.01666667,-1.992452598,-0.629328698,-2.103976349,3.037369157,5.643333333
-3.731685892,3.734854398,8.383333333,1.321101808,0.629328698,-2.419407307,3.305000576,4.816666667
-3.590418424,0,7.493333333,3.0879359,0,-2.170486508,2.701409206,4.023333333
-4.264532482,-1.116799236,6.72,1.301005087,0.760459939,-1.991275254,3.065149098,3.77
-4.05332059,0.372612975,5.77,4.966621542,2.056627758,-1.794578491,3.041839754,3.256666667
-3.220982989,1.857876076,5.88,5.407170895,1.307208157,-1.476775521,3.488531246,3.036666667
-2.963238753,3.69006307,5.693333333,-0.892302488,0,-2.132162779,2.8995801,3.04
-3.243686117,1.466546097,5.213333333,1.290065425,2.666824708,-2.401987198,2.878712367,3
-4.240469514,1.825653557,4.896666667,3.020019558,0.814115758,-2.663938532,1.846299147,3.06
-3.026720485,0.727934687,4.803333333,0.828737439,0.272851465,-2.099828564,3.302013707,2.99
-1.928023441,1.45190722,4.83,-6.360147417,-0.951740699,-1.859509898,2.004560004,3.213333333
-1.698959866,2.888099189,4.963333333,-2.375106849,0,-1.333656434,2.26578152,3.94
-1.276159004,2.510093401,5.646666667,-1.683364851,0,-1.543683406,3.688320296,4.486666667
-1.821649409,3.204289498,7.186666667,-3.118309556,-3.196011034,-1.144976422,2.321435087,5.166666667
-1.950572814,6.681474029,8.193333333,1.747635869,-0.130975788,-1.633618472,2.927166849,5.81
-1.752515634,5.197128113,7.713333333,2.872829822,0.920453573,-2.219978875,3.256701894,6.02
-1.221443409,4.790476419,7.543333333,-4.969568896,-0.789477785,-2.171894015,2.011152996,5.796666667
-1.400771438,3.049570044,7.453333333,-0.316626536,-0.392413846,-2.205234542,2.174627516,5.72
-0.623721808,1.684213015,7.486666667,-1.255424204,-1.682887613,-2.262964912,3.540992573,5.363333333
-1.052329892,2.680077028,7.563333333,-3.470752548,-2.158813997,-1.396612305,3.424678454,5.243333333
-0.817894469,1.000417362,7.13,1.013045509,-0.125549295,-1.319998152,2.295192781,5.306666667
-0.585195405,0.665557558,6.426666667,-1.097177475,0,-0.914658401,3.4603022,5.28
-1.461447394,0.66445198,5.926666667,3.608757175,-0.250626698,-0.900161037,2.429581247,5.276666667
0.264818558,-0.997092332,5.753333333,2.057157955,-1.36733019,-0.145464328,0.917718621,5.523333333
-0.22361394,-1.667363815,4.953333333,4.860572142,-0.24660925,0.338916934,1.995016604,5.533333333
0.133386119,1.001252087,4.95,7.977496045,0.617667189,0.321958319,2.15009821,5.506666667
0.683899603,0.998752079,4.973333333,1.410388745,2.129072281,0.671853531,0.823893185,5.52
0.55699068,2.320769046,5.066666667,5.923730077,0.380469704,0.582017089,1.314709483,5.5
1.271397022,0.990508141,5.13,6.388196703,2.835241459,0.979127201,2.045621723,5.533333333
2.23790432,1.973688215,4.836666667,-5.378263124,1.713950988,1.740458369,1.872776958,4.86
