"window_start","window_end","rmsfe_h1","rmsfe_h3","rmsfe_h12","variable"
2009-11-30,2012-10-31,700883514624094,5.71813314415257e+25,2.60459231516245e+102,"CPI"
2009-12-31,2012-11-30,690480079460570,5.70538928744785e+25,2.60289420717097e+102,"CPI"
2010-01-31,2012-12-31,679849904576406,5.36465964754844e+25,2.26946283711073e+102,"CPI"
2010-02-28,2013-01-31,696631614406151,5.21689754459369e+25,2.23242037482463e+102,"CPI"
2010-03-31,2013-02-28,704435681838518,4.95810039161864e+25,1.9929973492605e+102,"CPI"
2010-04-30,2013-03-31,696937216627205,5.2529549505878e+25,2.23144111383944e+102,"CPI"
2010-05-31,2013-04-30,695289545754698,5.2101953406115e+25,2.13541986917813e+102,"CPI"
2010-06-30,2013-05-31,707320952195973,5.05501957102863e+25,2.06746044805665e+102,"CPI"
2010-07-31,2013-06-30,710123535465893,5.02191187757537e+25,2.06642875683102e+102,"CPI"
2010-08-31,2013-07-31,703078930410099,5.01949503144427e+25,2.06638801335639e+102,"CPI"
2010-09-30,2013-08-31,703235218611935,5.00166261661323e+25,2.06571494883365e+102,"CPI"
2010-10-31,2013-09-30,706223500564177,5.01084142349461e+25,2.06592932003652e+102,"CPI"
2010-11-30,2013-10-31,743308114583067,5.01606246399341e+25,2.06605525805649e+102,"CPI"
2010-12-31,2013-11-30,704270655323119,5.01602342494766e+25,2.06605161918978e+102,"CPI"
2011-01-31,2013-12-31,706008717213679,4.97877828375332e+25,2.06270503019671e+102,"CPI"
2011-02-28,2014-01-31,706083850257723,4.96018088938319e+25,2.06214314125332e+102,"CPI"
2011-03-31,2014-02-28,679994700859767,4.94626242401042e+25,2.06196076222893e+102,"CPI"
2011-04-30,2014-03-31,692599393542161,4.71437213152971e+25,1.98870580223128e+102,"CPI"
2011-05-31,2014-04-30,687729134140374,4.66927574390254e+25,1.98506103905127e+102,"CPI"
2011-06-30,2014-05-31,717039691820652,4.67041178180268e+25,1.98506198367617e+102,"CPI"
2011-07-31,2014-06-30,701830167721922,4.47092355414422e+25,1.92822912445779e+102,"CPI"
